job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level
0,HR Manager,Finance,India,2023,38.53,30.33,45.54,8250.41,8820.65,6.91,2.64,64.33,28.98,3
1,Teacher,Education,Germany,2023,19.22,18.25,23.98,56366.46,57397.82,1.83,10.6,32.76,26.51,3
2,Marketing Specialist,Retail,Brazil,2024,44.24,51.67,58.74,8120.62,8354.86,2.88,11.07,85.54,63.99,3
3,Software Engineer,Technology,India,2020,18.84,15.47,52.1,23237.6,28595.53,23.06,28.95,93.66,43.97,3
4,Accountant,Finance,Japan,2023,70.28,91.62,35.42,43853.29,42082.27,-4.04,-5.58,67.34,50.27,3
5,Teacher,Education,Canada,2026,4.66,3.9,40.58,56229.37,53836.19,-4.26,3.62,27.39,39.93,3
6,Data Analyst,Finance,Japan,2026,61.1,29.46,53.14,37760.45,36084.9,-4.44,14.71,93.79,90.96,3
7,Financial Analyst,Technology,Australia,2023,49.67,59.54,67.21,49552.93,44643.8,-9.91,-5.67,78.27,52.42,4
8,Financial Analyst,Energy,India,2021,64.57,58.57,45.18,10723.3,10269.27,-4.23,-5.84,65.13,34.65,4
9,Data Analyst,Manufacturing,Australia,2022,51.36,37.87,67.76,34305.5,36810.0,7.3,18.39,72.2,56.26,3
10,Software Engineer,Healthcare,Canada,2021,29.21,13.85,41.15,99647.0,107847.98,8.23,10.97,92.38,71.96,3
11,Financial Analyst,Healthcare,Singapore,2026,57.42,40.69,59.46,28447.61,30488.43,7.17,1.74,86.94,90.49,4
12,Marketing Specialist,Technology,Australia,2022,53.17,49.43,50.3,54503.84,57670.81,5.81,16.26,63.92,51.74,3
13,Teacher,Healthcare,Canada,2023,11.99,12.39,35.69,73755.71,81925.53,11.08,4.56,36.8,24.63,3
14,Teacher,Healthcare,Canada,2026,15.16,10.3,29.16,78588.69,80133.76,1.97,-1.88,53.25,36.33,3
15,Teacher,Healthcare,India,2023,4.87,12.74,46.23,6512.19,6494.7,-0.27,1.93,30.19,22.91,3
16,Teacher,Education,Japan,2020,8.21,10.17,33.18,38447.85,39679.46,3.2,-2.48,41.73,10.47,3
17,HR Manager,Manufacturing,Canada,2021,29.74,42.87,42.86,47303.61,50227.73,6.18,4.26,48.42,23.98,3
18,Marketing Specialist,Finance,Canada,2023,27.21,44.11,65.97,51841.01,50070.14,-3.42,15.38,79.04,58.18,3
19,Accountant,Education,Australia,2024,63.81,68.89,16.67,70027.62,66123.86,-5.57,3.5,64.05,58.19,3
20,Data Analyst,Retail,Australia,2025,37.7,58.82,60.21,59673.72,63626.46,6.62,25.41,80.78,76.17,3
21,Teacher,Healthcare,India,2026,14.1,15.78,57.86,7182.53,7360.64,2.48,-2.72,32.24,28.34,3
22,Data Analyst,Healthcare,Germany,2021,35.9,27.12,60.17,36768.19,41125.38,11.85,15.45,84.16,55.73,3
23,Truck Driver,Transportation,Japan,2023,71.65,85.12,19.35,29360.78,27889.3,-5.01,-19.53,5.12,42.02,1
24,Software Engineer,Technology,UK,2020,22.59,18.31,42.7,60828.57,65470.77,7.63,21.06,93.68,60.35,3
25,Data Analyst,Manufacturing,UK,2024,41.98,57.39,65.24,51600.99,52513.32,1.77,11.27,92.28,80.43,3
26,Financial Analyst,Technology,India,2024,80.17,63.75,32.82,6043.18,6484.03,7.3,-8.19,65.73,46.48,4
27,Teacher,Education,Australia,2024,3.3,13.97,24.93,67896.78,70984.46,4.55,2.3,30.52,31.06,3
28,Truck Driver,Energy,UK,2024,78.73,66.2,14.24,40077.94,34789.88,-13.19,-16.8,6.71,56.32,1
29,HR Manager,Healthcare,Singapore,2022,37.34,22.48,54.06,30995.55,32059.66,3.43,-6.74,40.9,37.28,3
30,Software Engineer,Healthcare,Brazil,2021,25.86,30.05,55.35,32043.99,32218.87,0.55,19.98,95.46,56.0,3
31,Data Analyst,Technology,Singapore,2026,61.09,44.93,47.7,48397.8,47607.51,-1.63,19.35,67.19,99.0,3
32,Financial Analyst,Finance,Germany,2020,44.98,44.07,42.5,79495.02,74446.78,-6.35,-0.75,81.04,31.39,4
33,Truck Driver,Energy,Singapore,2023,82.47,77.73,20.19,24199.81,20256.26,-16.3,-18.7,10.2,56.54,1
34,Customer Support Rep,Technology,Singapore,2024,67.84,73.44,43.2,27922.34,24048.56,-13.87,-4.61,73.43,69.31,2
35,Truck Driver,Retail,Singapore,2022,92.03,90.42,15.92,20605.46,21146.46,2.63,-17.24,2.0,44.37,1
36,Software Engineer,Healthcare,Australia,2023,9.97,3.0,28.33,93939.21,98730.63,5.1,19.39,77.28,77.66,3
37,Data Analyst,Healthcare,USA,2023,34.09,44.24,72.46,95508.46,98502.4,3.13,27.22,72.04,81.34,3
38,Mechanical Engineer,Energy,Australia,2021,34.59,21.78,48.08,87026.11,87268.75,0.28,8.53,23.79,33.21,3
39,Accountant,Finance,Singapore,2026,74.91,80.05,29.56,59894.22,59883.68,-0.02,-2.65,74.11,78.98,3
40,Customer Support Rep,Retail,India,2021,59.71,71.35,47.78,7149.16,7421.64,3.81,-19.11,71.04,22.2,2
41,Accountant,Retail,Canada,2025,78.22,82.09,34.67,51450.69,49599.8,-3.6,-16.07,62.16,64.6,3
42,HR Manager,Healthcare,UK,2026,23.07,25.67,24.89,65174.57,68279.69,4.76,6.18,68.39,59.99,3
43,Financial Analyst,Healthcare,Brazil,2023,45.29,64.45,52.97,19853.43,19077.0,-3.91,-4.74,66.69,39.85,4
44,Marketing Specialist,Retail,India,2021,39.99,40.31,36.5,9032.88,9775.53,8.22,28.06,71.52,29.35,3
45,Mechanical Engineer,Technology,India,2025,20.93,21.63,45.93,9047.12,9652.34,6.69,18.14,25.64,38.45,3
46,Software Engineer,Retail,USA,2026,10.83,19.85,30.78,164679.4,174577.3,6.01,28.96,94.59,99.0,3
47,HR Manager,Healthcare,Brazil,2026,43.29,30.25,48.35,16199.33,16991.19,4.89,0.53,49.76,44.23,3
48,Software Engineer,Finance,Germany,2022,10.68,5.89,34.62,62231.44,71733.89,15.27,24.62,87.5,72.74,3
49,Financial Analyst,Technology,India,2023,60.31,48.58,29.23,17054.57,16300.91,-4.42,-14.38,66.55,45.95,4
50,Marketing Specialist,Finance,Japan,2020,34.28,37.07,40.15,34309.81,33739.44,-1.66,7.38,73.16,35.67,3
51,Software Engineer,Retail,Japan,2021,14.74,20.27,46.85,67509.38,75510.32,11.85,9.34,98.44,68.61,3
52,Data Analyst,Healthcare,Japan,2021,39.79,28.58,65.72,40809.71,43073.44,5.55,30.96,84.15,54.85,3
53,Mechanical Engineer,Technology,Canada,2020,29.84,36.97,72.37,81509.8,85231.16,4.57,14.43,20.33,26.57,3
54,HR Manager,Technology,Australia,2024,20.6,50.13,21.83,70833.2,75044.05,5.94,-1.81,30.13,38.25,3
55,Data Analyst,Retail,Japan,2025,32.48,31.56,73.37,49736.82,54953.15,10.49,31.44,99.0,79.27,3
